Doc;Adjacency Word Frequency List
80;{'STUDY': 1, 'HUMORAL': 1, 'ANTIBODY': 2, 'RESPONSE': 2, 'PATIENTS': 3, 'CYSTIC': 2, 'FIBROSIS': 2, 'HEAT': 1, 'STABLE': 1, 'POSSIBLY': 1, 'ANTIGENS': 1, 'PSEUDOMONAS': 1, 'AERUGINOSA': 2, 'REVEALED': 1, 'ANTIBODIES': 2, 'SIGNIFICANT': 1, 'TITERS': 2, 'LEAD': 1, 'ERADICATION': 1, 'MICROORGANISM': 1, 'RESPIRATORY': 1, 'TRACT': 1, 'THREE': 1, 'SIX': 1, 'DIRECTED': 1, 'STRAINS': 1, 'ISOLATED': 1, 'SPUTUM': 1, 'LUNGS': 1, 'AUTOPSY': 1, 'PRESENT': 1, 'ELEVATED': 1, 'STRIKINGLY': 1, 'AFFECTED': 1, 'CONDITION': 1, 'HOST': 1, 'DIFFERS': 1, 'ONE': 1, 'ANOTHER': 1, 'KIND': 1, 'MALIGNANCY': 1}
81;{'VARIOUS': 1, 'TECHNIQUES': 1, 'UTILIZED': 1, 'MEASUREMENT': 1, 'ANTIBODIES': 6, 'PSEUDOMONAS': 4, 'AERUGINOSA': 1, 'GENERAL': 1, 'RESULTS': 1, 'MEASUREMENTS': 1, 'TEND': 1, 'PARALLEL': 1, 'PRINCIPAL': 1, 'FUNCTIONAL': 2, 'APPEAR': 1, 'OPSONINS': 1, 'IGG': 2, 'IGM': 2, 'IMMUNOGLOBULIN': 1, 'CLASSES': 1, 'POTENTIATED': 1, 'COMPLEMENT': 1, 'SYSTEM': 1, 'ACTIVATED': 1, 'EITHER': 1, 'CLASSICAL': 1, 'ALTERNATE': 1, 'PATHWAYS': 1, 'SUSCEPTIBILITY': 1, 'FATAL': 1, 'INFECTION': 1, 'ASSOCIATED': 1, 'ANTIBODY': 1, 'DEFICIENCY': 1, 'DEFECT': 1, 'USUALLY': 1, 'CORRELATED': 1, 'DATA': 1, 'REGARDING': 1, 'STATE': 1, 'HOST': 1, 'UNDERLYING': 1, 'DISEASE': 1, 'IMMUNOSUPPRESSIVE': 1, 'THERAPY': 1, 'LEUKOPENIA': 1, 'ADDITIONAL': 1, 'INFORMATION': 1, 'NEEDED': 1, 'RELATIVE': 1, 'PROTECTIVE': 1, 'ROLE': 2, 'AFFINITY': 1, 'VIABLE': 1, 'BACTERIA': 1, 'NONLIPOPOLYSACCHARIDE': 1, 'ANTIGENS': 1, 'PROTEIN': 1, 'COMPONENTS': 1, 'CELL': 1, 'WALL': 1, 'EXOTOXINS': 1}
82;{'HEPTAVALENT': 1, 'LIPOPOLYSACCHARIDE': 1, 'VACCINE': 2, 'PSEUDOMONAS': 3, 'DEVELOPED': 1, 'CLINICAL': 1, 'TRIALS': 2, 'REVEALED': 1, 'DECREASED': 2, 'INCIDENCE': 2, 'SEPSIS': 1, 'MORTALITY': 1, 'DUE': 1, 'VACCINATED': 2, 'PATIENTS': 3, 'BURNS': 1, 'CERTAIN': 1, 'GROUPS': 1, 'IMMUNOSUPPRESSED': 1, 'CANCER': 1, 'MAY': 1, 'ALSO': 1, 'DEATH': 1, 'ASSOCIATED': 1, 'PARENTERAL': 1, 'VACCINATION': 1, 'CYSTIC': 1, 'FIBROSIS': 1, 'SHOW': 1, 'LITTLE': 1, 'BENEFIT': 1, 'ADVERSE': 1, 'REACTIONS': 1, 'FREQUENT': 1, 'OFTEN': 1, 'LIMIT': 1, 'DOSE': 1, 'GIVEN': 1}
83;{'EXAMINED': 1, 'WHITE': 2, 'CELL': 2, 'CULTURES': 4, 'PARENTS': 1, 'PATIENTS': 1, 'COMPULSORY': 1, 'HETEROZYGOTES': 2, 'CONFIRM': 2, 'POSSIBLE': 1, 'EXISTENCE': 1, 'AMETACHROMATIC': 1, 'GROUP': 1, 'CLASS': 5, 'III': 1, 'QUANTITATE': 1, 'RELATION': 1, 'NUMBERS': 1, 'SHOWING': 1, 'VESICULAR': 1, 'CYTOPLASMIC': 1, 'METACHROMASIA': 4, 'GENERALIZED': 1, 'LEUCOCYTE': 1, 'CARRIERS': 1, 'SET': 1, 'PARALLEL': 1, 'SIMILAR': 1, 'NORMAL': 1, 'HEALTHY': 1, 'CONTROLS': 1, 'RESULTS': 1, 'VALUE': 1, 'TOLUIDINE': 1, 'BLUE': 1, 'PHENOMENON': 1, 'METHOD': 1, 'HETEROZYGOTE': 1, 'DETECTION': 1, 'CYSTIC': 2, 'FIBROSIS': 2, 'SUGGEST': 1, 'MAY': 1, 'JUSTIFIED': 1, 'REPLACE': 1, 'TEDIOUS': 1, 'EXPENSIVE': 1, 'TIME': 1, 'CONSUMING': 1, 'FIBROBLAST': 1, 'TECHNIQUE': 1, 'MUCH': 1, 'SIMPLER': 1, 'RAPID': 1, 'LEUKOCYTE': 2, 'CULTURE': 2, 'PROCEDURE': 2, 'SIMPLICITY': 1, 'APPARENT': 1, 'RELIABILITY': 1, 'OUTLINED': 1, 'FACILITATE': 1, 'INTRAFAMILIAL': 1, 'INVESTIGATION': 1, 'ORDINATION': 1, 'PARAMETERS': 1, 'SWEAT': 1, 'ELECTROLYTES': 1, 'CILIARY': 1, 'DYSKINETIC': 1, 'FACTOR': 1, 'CLINICAL': 1, 'MANIFESTATIONS': 1, 'STUDY': 1, 'REVEALED': 1, 'DISTINCT': 1, 'CONSISTENT': 1, 'PHENOTYPIC': 1, 'CORRELATIONS': 1, 'MIGHT': 1, 'FURNISH': 1, 'VALUABLE': 1, 'ADDITIONAL': 1, 'EVIDENCE': 1, 'GENETIC': 1, 'HETEROGENEITY': 1}
84;{'BRIEF': 1, 'REVIEW': 1, 'EMPHASIZES': 1, 'PARADOX': 1, 'CYSTIC': 1, 'FIBROSIS': 1, 'PLETHORA': 1, 'ABNORMALITIES': 1, 'DISCLOSED': 1, 'YET': 1, 'NONE': 1, 'ACCORDED': 1, 'PRIDE': 1, 'PLACE': 1, 'PRIMARY': 1, 'INHERITED': 2, 'ABNORMALITY': 1, 'NEVERTHELESS': 1, 'HOPED': 1, 'NEAR': 1, 'FUTURE': 1, 'RESULT': 1, 'COLLABORATION': 1, 'INTEGRATION': 1, 'HIGHLY': 1, 'SPECIALIZED': 1, 'AREAS': 1, 'RESEARCH': 1, 'MEANINGFUL': 1, 'SIGNIFICANT': 1, 'DATA': 1, 'OBTAINED': 1, 'ULTIMATELY': 1, 'VALUE': 1, 'IDENTIFYING': 1, 'HETEROZYGOTES': 1, 'CONDITION': 1, 'ALSO': 1, 'HANDLING': 1, 'TREATMENT': 1, 'PATIENTS': 1, 'COMMON': 1, 'DISABLING': 1, 'DISEASE': 1}
85;{'SUSPENSIONS': 1, 'PROTEUS': 1, 'VULGARIS': 2, 'RAPIDLY': 1, 'AGGLUTINATED': 1, 'SERUM': 5, 'CYSTIC': 1, 'FIBROSIS': 1, 'PATIENTS': 1, 'OBLIGATE': 1, 'HETEROZYGOTES': 2, 'EXHIBITED': 1, 'MEAN': 1, 'AGGLUTINATION': 2, 'TIME': 1, 'SIGNIFICANTLY': 1, 'LESS': 1, 'OBSERVED': 3, 'CONTROLS': 1, 'AGGLUTINATING': 2, 'PROPERTY': 1, 'TRANSMITTED': 1, 'SEVERAL': 1, 'GENERATIONS': 1, 'MATERNAL': 1, 'PATERNAL': 1, 'BRANCHES': 1, 'PEDIGREES': 1, 'QUALITATIVE': 1, 'DIFFERENCES': 1, 'NOTED': 1, 'SERA': 1, 'INDUCING': 1, 'FORMATION': 1, 'CLUMPS': 1, 'TWO': 1, 'FOLD': 1, 'LARGER': 1, 'FACTOR': 1, 'RESPONSIBLE': 1, 'HEAT': 1, 'SENSITIVE': 1, 'DESTROYED': 1, 'PRONASE': 1, 'NEUTRALIZED': 1, 'ANTI': 2, 'HUMAN': 2, 'WHOLE': 1, 'RETAINED': 1, 'ACTIVITY': 1, 'FOLLOWING': 1, 'PREINCUBATION': 1, 'IGG': 1, 'IGA': 1}
86;{'STRAIN': 2, 'STAPHYLOCOCCUS': 1, 'AUREUS': 1, 'FAR': 1, 'ISOLATED': 2, 'PATIENT': 2, 'FREQUENT': 1, 'INTERVALS': 1, 'MONTHS': 2, 'PREVIOUSLY': 1, 'SHOWN': 1, 'LOSE': 1, 'RESISTANCE': 6, 'SEVERAL': 1, 'ANTIBODIES': 1, 'LACEY': 1, 'LAST': 1, 'CHANGES': 1, 'OCCURRED': 1, 'VIVO': 2, 'LINCOMYCIN': 2, 'APPEARED': 1, 'TREATED': 1, 'CLINDAMYCIN': 1, 'DUE': 1, 'MUTATION': 1, 'CONSTITUTIVE': 1, 'ERYTHROMYCIN': 2, 'LOCUS': 1, 'ADJACENT': 1, 'DETERMINING': 1, 'INDUCIBLE': 1, 'LOCI': 1, 'PROBABLY': 2, 'CARRIED': 1, 'EXTRACHROMOSOMAL': 1, 'ELEMENT': 1, 'THREE': 1, 'TYPES': 1, 'VARIATION': 1, 'PLASMID': 6, 'OBSERVED': 1, 'ALTERATION': 1, 'PRODUCTION': 2, 'PENICILLINASE': 2, 'MACROCONSTITUTIVE': 1, 'MICROCONSTITUTIVE': 2, 'ASSOCIATED': 5, 'DETECTABLE': 1, 'CHANGE': 3, 'SIZE': 3, 'GAVE': 1, 'CELL': 1, 'ADVANTAGE': 1, 'VITRO': 2, 'FASTER': 1, 'GROWTH': 2, 'RATE': 2, 'ALSO': 2, 'VARIANTS': 1, 'INCREASING': 1, 'NUMBERS': 1, 'FLUCLOXACILLIN': 1, 'THERAPY': 1, 'CEASED': 1, 'COMPLETE': 1, 'LOSS': 2, 'DETERMINANTS': 1, 'CADMIUM': 1, 'IONS': 1, 'DECREASE': 2, 'DALTONS': 2, 'INCREASED': 1, 'FUSIDIC': 1, 'ACID': 1}
87;{'METHOD': 3, 'SUITABLE': 1, 'STUDY': 1, 'REGIONAL': 3, 'LUNG': 2, 'FUNCTION': 1, 'CHILDREN': 1, 'DESCRIBED': 2, 'SIMPLE': 1, 'PERFORM': 1, 'TAKES': 1, 'MIN': 1, 'PROVIDES': 1, 'PICTORIAL': 1, 'NUMERICAL': 2, 'INFORMATION': 2, 'VENTILATION': 1, 'PERFUSION': 1, 'SCALING': 1, 'FACTOR': 1, 'MEASURED': 1, 'REBREATHING': 1, 'ACCOUNT': 1, 'VARIATION': 1, 'SIZE': 1, 'SHIELDING': 1, 'ALTHOUGH': 1, 'AVAILABILITY': 1, 'COMPUTER': 1, 'SYSTEM': 1, 'ONE': 1, 'TEXT': 1, 'ESSENTIAL': 1, 'PRECISE': 1, 'RAPID': 1, 'EVALUATION': 1, 'NUCLEAR': 1, 'MEDICINE': 1, 'LABORATORIES': 1, 'LACK': 1, 'FACILITY': 1, 'GAMMA': 1, 'CAMERA': 1, 'COULD': 1, 'USE': 1, 'OBTAIN': 1, 'SCINTIGRAPHIC': 1, 'ALONE': 1}
88;{'STAPHYLOCOCCAL': 3, 'EMPYEMA': 4, 'RARE': 1, 'OCCURRENCE': 1, 'PATIENTS': 5, 'CYSTIC': 2, 'FIBROSIS': 2, 'OCCURRING': 1, 'MANY': 1, 'PER': 2, 'CENT': 2, 'RECENT': 1, 'EXPERIENCE': 1, 'MAY': 1, 'PRESENTING': 1, 'ILLNESS': 1, 'INFANCY': 2, 'CONSTITUTE': 1, 'SIGNIFICANT': 1, 'PERCENTAGE': 1, 'APPROXIMATELY': 1, 'TOTAL': 1, 'NUMBER': 1, 'HOSPITALIZED': 1, 'SINCE': 1, 'EMPYEMAS': 1, 'OCCUR': 1, 'ORIGIN': 1, 'SWEAT': 1, 'TESTS': 1, 'DONE': 1, 'INFANTS': 1, 'ADMITTED': 1, 'PNEUMONIA': 1, 'WITHOUT': 1, 'PARTICULARLY': 1, 'RECOVERY': 1, 'ADEQUATE': 1, 'TREATMENT': 1, 'UNDULY': 1, 'PROLONGED': 1}
89;{'FECAL': 3, 'FAT': 2, 'NITROGEN': 2, 'EXCRETION': 1, 'DETERMINED': 1, 'PATIENTS': 4, 'YEARS': 1, 'AGE': 3, 'CYSTIC': 1, 'FIBROSIS': 1, 'PANCREATIC': 4, 'DEFICIENCY': 3, 'CURRENT': 1, 'CLINICAL': 1, 'NUTRITIONAL': 1, 'STATUS': 1, 'GROWTH': 4, 'ACHIEVEMENT': 1, 'RELATION': 2, 'NUTRIENT': 1, 'LOSS': 1, 'DIAGNOSIS': 3, 'ADEQUACY': 1, 'TREATMENT': 4, 'EVALUATED': 1, 'STEATORRHEA': 1, 'AZOTORRHEA': 1, 'PRESENT': 1, 'VARIABLE': 1, 'EXTENT': 1, 'TIMES': 1, 'MASSIVE': 1, 'STUDIED': 1, 'BORE': 1, 'LITTLE': 2, 'EXISTING': 1, 'INTESTINAL': 1, 'SYMPTOMS': 1, 'STATE': 3, 'NUTRITION': 3, 'ACHIEVED': 1, 'MANY': 1, 'BETTER': 1, 'PROGNOSTIC': 1, 'SCORES': 1, 'DIAGNOSED': 1, 'RELATIVELY': 1, 'LATE': 1, 'LIFE': 1, 'PRESUMABLY': 1, 'RECEIVED': 1, 'ADEQUATE': 2, 'OPTIMAL': 2, 'ADDITION': 1, 'SUPPLEMENTS': 1, 'RESULTED': 1, 'SIGNIFICANT': 1, 'DRAMATIC': 1, 'DECREASES': 1, 'LOSSES': 1, 'CONCLUDED': 1, 'DESPITE': 1, 'OLDER': 1, 'NEED': 1, 'DIETARY': 1, 'RESTRICTION': 1, 'ALTHOUGH': 1, 'INDIVIDUALIZED': 1, 'FAILURE': 1, 'SEEM': 1, 'CORRELATED': 1, 'CLOSELY': 1, 'PULMONARY': 1, 'ULTIMATE': 1, 'PROGNOSIS': 1, 'NATURAL': 1, 'VARIATION': 1, 'SEVERITY': 1, 'LUNG': 1, 'INVOLVEMENT': 1, 'LEAST': 1, 'IMPORTANT': 1, 'EARLY': 1}
90;{'RECENT': 1, 'DATA': 1, 'SUGGEST': 1, 'LONGER': 1, 'USE': 1, 'MIST': 2, 'TENTS': 1, 'INTERMITTENT': 1, 'AEROSOL': 2, 'THERAPY': 3, 'CYSTIC': 1, 'FIBROSIS': 1, 'PATIENTS': 1, 'ABANDON': 1, 'PREVIOUSLY': 1, 'EMPLOYED': 1, 'CANNOT': 1, 'ACCEPT': 1, 'PROVED': 1, 'EFFECTIVE': 1, 'FORMERLY': 1, 'BELIEVED': 1, 'AEROSOLS': 1, 'MISTS': 1, 'COULD': 1, 'LITTLE': 1, 'HARM': 1, 'KNOW': 1, 'HARMFUL': 1, 'TREATMENT': 1, 'USED': 1, 'PATIENT': 1, 'CLOSELY': 1, 'MONITORED': 1, 'CLINICALLY': 1, 'SENSITIVE': 1, 'PULMONARY': 1, 'FUNCTION': 1, 'TESTS': 1, 'MAXIMUM': 1, 'EXPIRATORY': 1, 'FLOW': 1, 'VOLUME': 1, 'CURVES': 1, 'OBVIOUS': 1, 'MUCH': 1, 'LEARN': 1, 'CONFIRM': 1, 'DISPROVE': 1, 'RESPECT': 1, 'RATIONALE': 1, 'BENEFITS': 1}
91;{'RECENTLY': 1, 'STUDIED': 1, 'YEAR': 1, 'OLD': 1, 'CHILD': 1, 'PROVED': 1, 'CYSTIC': 1, 'FIBROSIS': 1, 'RAISED': 1, 'SWEAT': 5, 'SODIUM': 2, 'NORMAL': 1, 'CHLORIDE': 3, 'LEVELS': 1, 'OBTAINED': 1, 'RECEIVING': 2, 'CLOXACILLIN': 3, 'PERIPHERAL': 1, 'EDEMA': 1, 'HYPOPROTEINEMIA': 1, 'ALTHOUGH': 2, 'NECROPSY': 1, 'EVIDENCE': 1, 'BILIARY': 1, 'CIRRHOSIS': 1, 'ABNORMALITY': 1, 'MIGHT': 1, 'DUE': 1, 'YET': 1, 'UNKNOWN': 1, 'FACTORS': 1, 'TEMPORAL': 1, 'ASSOCIATION': 1, 'ADMINISTRATION': 1, 'SUGGESTS': 1, 'CAUSATIVE': 1, 'RELATIONSHIP': 1, 'TEMPTING': 1, 'SPECULATE': 1, 'ANOMALY': 1, 'PRODUCED': 1, 'INSTANCE': 1, 'SUBSTITUTION': 1, 'RADICAL': 1, 'ION': 1, 'PERIOD': 1, 'THERAPY': 1, 'LIGHT': 1, 'FINDINGS': 1, 'WOULD': 1, 'INTEREST': 1, 'KNOW': 1, 'WHETHER': 2, 'INFANT': 1, 'REPORTED': 1, 'MACLEAN': 1, 'TRIPP': 1, 'DRUGS': 1, 'TIME': 1, 'INITIAL': 1, 'ESTIMATIONS': 2, 'ALSO': 1, 'PERFORMED': 1}
92;{'PANCREATIC': 2, 'GLUCAGON': 3, 'INSULIN': 2, 'DETERMINED': 1, 'CHILDREN': 1, 'CYSTIC': 1, 'FIBROSIS': 1, 'CONTROL': 1, 'GROUP': 1, 'FOLLOWING': 1, 'STIMULATION': 1, 'ARGININE': 2, 'INFUSION': 2, 'CONTROLS': 1, 'INDUCED': 1, 'PROMPT': 1, 'THREEFOLD': 1, 'ELEVATION': 1, 'PLASMA': 2, 'SIXFOLD': 1, 'INCREASE': 1, 'IMMUNOREACTIVE': 1, 'PATIENTS': 1, 'AVERAGE': 1, 'RESPONSE': 1, 'HORMONES': 1, 'CONSIDERABLY': 1, 'LESS': 1, 'BASE': 1, 'LINE': 1, 'CONCENTRATIONS': 1, 'LOWER': 1, 'DATA': 1, 'SUPPORT': 1, 'HYPOTHESIS': 1, 'ALPHA': 1, 'BETA': 1, 'CELL': 1, 'FUNCTION': 1, 'AFFECTED': 1, 'RESULT': 1, 'UNDERLYING': 1, 'PROCESS': 1}
93;{'EFFICIENCY': 2, 'DELIVERY': 1, 'AEROSOL': 7, 'CHILDREN': 3, 'CYSTIC': 2, 'FIBROSIS': 2, 'AGED': 1, 'MONTHS': 1, 'YEARS': 1, 'INVESTIGATED': 1, 'USE': 1, 'STANDARD': 1, 'ULTRASONIC': 1, 'NEBULIZER': 1, 'STUDY': 1, 'DESIGNED': 1, 'SIMULATE': 1, 'CLINICAL': 1, 'CONDITIONS': 1, 'CLOSELY': 1, 'POSSIBLE': 1, 'RETENTION': 1, 'MONITORED': 1, 'SCINTILLATION': 1, 'CAMERA': 1, 'INTERFACED': 1, 'SMALL': 1, 'DIGITAL': 1, 'COMPUTER': 1, 'ALSO': 1, 'VENTILATION': 2, 'STUDIES': 1, 'XENON': 1, 'ALLOWED': 1, 'COMPARISON': 1, 'DISTRIBUTION': 2, 'REGIONAL': 2, 'VISUALIZED': 1, 'WITHIN': 2, 'LUNGS': 3, 'PATIENTS': 1, 'PER': 3, 'CENT': 1, 'INITIAL': 1, 'ACTIVITY': 1, 'DEPOSITED': 1, 'REPRESENTING': 1, 'AVERAGE': 1, 'THERAPY': 1, 'SESSION': 1, 'KILOGRAM': 1, 'BODY': 1, 'WEIGHT': 1, 'POSITIVE': 1, 'CORRELATION': 1, 'INCREASING': 1, 'AGE': 2, 'GREATER': 1, 'PULMONARY': 2, 'DEPOSITION': 2, 'DECREASED': 1, 'ENTRY': 1, 'REGIONS': 1, 'POORLY': 1, 'VENTILATED': 1, 'VARIABLE': 1, 'DEPENDING': 1, 'PRIMARILY': 1, 'PATIENT': 1, 'WHEREAS': 1, 'RELATED': 1, 'VARIATIONS': 1, 'SEVERITY': 1, 'DISEASE': 1}
94;{'RECENT': 1, 'INTERESTING': 1, 'REPORT': 2, 'CYSTIC': 2, 'FIBROSIS': 2, 'EDEMA': 2, 'FALSELY': 1, 'NEGATIVE': 1, 'SWEAT': 2, 'TEST': 2, 'PROMPTED': 1, 'SIMILAR': 2, 'CASE': 1, 'PREVIOUSLY': 1, 'REPORTED': 1, 'CASES': 1, 'ONE': 1, 'SUGGEST': 1, 'SUSPECTED': 1, 'EDEMATOUS': 1, 'INFANT': 1, 'CHLORIDE': 1, 'SODIUM': 1, 'CONCENTRATION': 1, 'WITHIN': 1, 'NORMAL': 1, 'RANGE': 1, 'REPEATED': 1, 'DISAPPEARED': 1}
95;{'TWELVE': 1, 'PATIENTS': 1, 'ABDOMINAL': 2, 'COMPLAINTS': 1, 'OPERATION': 2, 'INCLUDED': 1, 'INCIDENTAL': 1, 'APPENDECTOMY': 1, 'LATER': 1, 'DIAGNOSED': 1, 'CYSTIC': 4, 'FIBROSIS': 4, 'FOUR': 1, 'GROUPS': 1, 'PRESENTING': 1, 'SIGNS': 1, 'SYMPTOMS': 3, 'RIGHT': 1, 'LOWER': 1, 'QUADRANT': 1, 'MASS': 1, 'CHRONIC': 1, 'PAIN': 1, 'INTESTINAL': 2, 'OBSTRUCTION': 1, 'HEPATOMEGALY': 1, 'CASES': 1, 'PRECIPITATING': 1, 'DUE': 1, 'UNDERLYING': 1, 'UNRECOGNIZED': 1, 'CONDITION': 1, 'REVIEW': 1, 'HISTOLOGY': 1, 'APPENDIX': 2, 'REVEALED': 1, 'CLASSIC': 1, 'CHANGES': 2, 'HYPERSECRETION': 1, 'MUCOUS': 2, 'GLANDS': 1, 'PRESENT': 1, 'SHARES': 1, 'GENERALIZED': 1, 'GLAND': 1, 'INVOLVEMENT': 1, 'PECULIAR': 1, 'AWARENESS': 1, 'FACT': 1, 'WIDESPREAD': 1, 'PERHAPS': 1, 'USUAL': 1, 'EMPHASIS': 1, 'PULMONARY': 1, 'PANCREATIC': 1, 'ASPECTS': 1, 'DISEASE': 1, 'GREATER': 1, 'APPRECIATION': 1, 'CLINICAL': 1, 'LIBERAL': 1, 'USE': 1, 'SWEAT': 1, 'TEST': 1, 'COULD': 1, 'DIMINISHED': 1, 'NUMBER': 1, 'EXPLORATORY': 1, 'CELIOTOMIES': 1, 'RECOGNITION': 1, 'HISTOLOC': 1, 'REMOVED': 1, 'APPENDICES': 1, 'ALSO': 1, 'SUGGEST': 1, 'PROPER': 1, 'DIAGNOSIS': 1, 'LEAD': 1, 'EARLIER': 1, 'INSTITUTION': 1, 'TREATMENT': 1, 'IMPROVED': 1, 'PROGNOSIS': 1}
96;{'RARE': 1, 'EXCEPTIONS': 1, 'PATIENTS': 1, 'MECONIUM': 3, 'ILEUS': 3, 'CYSTIC': 3, 'FIBROSIS': 3, 'PANCREAS': 2, 'PANCREATIC': 3, 'ACHYLIA': 1, 'ELEVATED': 1, 'SALT': 1, 'CONTENT': 1, 'SWEAT': 2, 'CHARACTERISTIC': 1, 'PULMONARY': 1, 'MANIFESTATIONS': 1, 'WISH': 1, 'REPORT': 2, 'OCCURRENCE': 1, 'TWO': 1, 'FULL': 1, 'TERM': 1, 'SIBLINGS': 1, 'NORMAL': 2, 'FUNCTION': 1, 'EVIDENCE': 1, 'HISTORY': 1, 'PHYSICAL': 1, 'FINDINGS': 1, 'ELECTROLYTES': 1, 'KNOWLEDGE': 1, 'FIRST': 1, 'FAMILIAL': 1, 'WITHOUT': 1, 'ASSOCIATED': 1, 'INSUFFICIENCY': 1}
97;{'INFANTS': 3, 'CYSTIC': 2, 'FIBROSIS': 2, 'OCCASIONALLY': 1, 'MAY': 1, 'PRESENT': 1, 'SYMPTOM': 1, 'COMPLEX': 1, 'ANEMIA': 2, 'HYPOPROTEINEMIA': 1, 'EDEMA': 1, 'CASE': 3, 'REPORTS': 2, 'SEVEN': 1, 'AGES': 1, 'MONTHS': 1, 'DEVELOPED': 1, 'ABNORMALITIES': 1, 'INDICATE': 2, 'SEVERAL': 1, 'INSTANCES': 1, 'CHILDREN': 2, 'CONDITION': 1, 'MISDIAGNOSED': 1, 'MILK': 2, 'SENSITIVITY': 1, 'ALLERGY': 1, 'FURTHERMORE': 1, 'HISTORIES': 2, 'VERIFY': 1, 'HYPOALBUMINEMIA': 1, 'NUTRITIONAL': 1, 'CORRECTED': 1, 'READILY': 1, 'ABSORBED': 1, 'DIET': 1, 'PANCREATIC': 1, 'ENZYME': 1, 'SUPPLEMENT': 1, 'GIVEN': 1, 'RETROSPECTIVE': 1, 'REVIEW': 1, 'FEEDING': 1, 'WELL': 1, 'AFFECTED': 1, 'BREAST': 1, 'FED': 2, 'SOY': 1, 'BASED': 1, 'FORMULAS': 1, 'LIKELY': 1, 'DEVELOP': 1, 'SYNDROME': 1}
98;{'SINCE': 1, 'REPORT': 1, 'EDEMA': 2, 'ANEMIA': 4, 'HYPOPROTEINEMIA': 4, 'SYMPTOM': 4, 'COMPLEX': 4, 'INFANTS': 1, 'CYSTIC': 4, 'FIBROSIS': 4, 'SEVERAL': 1, 'ARTICLES': 1, 'PUBLISHED': 1, 'ALSO': 1, 'PARTICIPATED': 1, 'CARE': 1, 'IDENTICAL': 1, 'MALE': 1, 'TWINS': 3, 'INTERESTING': 1, 'OFFER': 1, 'TWO': 1, 'EXAMPLES': 1, 'INFANT': 1, 'PRESENCE': 1, 'TRANSSUPPLEMENTATION': 1, 'ABSENCE': 1, 'HEMOLYSIS': 1, 'NORMAL': 2, 'SERUM': 2, 'IRON': 5, 'INCREASED': 4, 'PERIPHERAL': 1, 'MARROW': 2, 'VALUES': 2, 'SUGGEST': 2, 'RESULTS': 1, 'DEFECT': 1, 'LEVEL': 1, 'HEMOGLOBIN': 2, 'SYNTHESIS': 3, 'TRANSPORT': 1, 'REMAINS': 1, 'SUFFICIENT': 2, 'FACE': 1, 'PROTEIN': 3, 'DEPLETION': 1, 'POSSIBLY': 1, 'RELATIVE': 1, 'DEFICIENCY': 1, 'OCCURS': 1, 'NUTRITIONAL': 1, 'INTAKE': 1, 'DUE': 3, 'UTILIZATION': 1, 'LEE': 1, 'SUGGESTED': 1, 'LOSS': 1, 'STOOLS': 1, 'PROBLEM': 1, 'LIES': 1, 'LOSSES': 1, 'URINE': 1, 'STOOL': 1, 'RATHER': 1, 'FAILURE': 1, 'POSSIBILITY': 1, 'SECONDARY': 1, 'LIVER': 2, 'DYSFUNCTION': 1, 'ATTRACTIVE': 1, 'ALTHOUGH': 1, 'FUNCTION': 1, 'TESTS': 1, 'BIOPSY': 1, 'FINDINGS': 1, 'OFTEN': 1, 'CASE': 1, 'PATIENTS': 1, 'ASSOCIATED': 1, 'LIKELY': 1, 'DECREASE': 1, 'ROUTINE': 1, 'THERAPY': 1, 'APPEARS': 1, 'CLINICAL': 1, 'RECOVERY': 1, 'COMPONENTS': 1}
99;{'DAY': 1, 'OLD': 1, 'INFANT': 2, 'MECONIUM': 1, 'STAINED': 1, 'BIRTH': 1, 'PRESENTED': 1, 'RESPIRATORY': 1, 'DISTRESS': 1, 'HYPOPLASTIC': 1, 'LEFT': 1, 'HEART': 1, 'SYNDROME': 1, 'DIAGNOSED': 1, 'CLINICALLY': 1, 'DOCUMENTED': 1, 'AUTOPSY': 1, 'UNSUSPECTED': 1, 'CYSTIC': 3, 'FIBROSIS': 5, 'DEMONSTRATED': 1, 'HISTOLOGIC': 1, 'PRESENCE': 1, 'SEVERE': 1, 'FOCAL': 1, 'BILIARY': 1, 'CIRRHOSIS': 1, 'SPREADING': 1, 'LIVER': 1, 'MINIMAL': 1, 'LESIONS': 1, 'PANCREAS': 1, 'INTESTINES': 1, 'COMPATIBLE': 1, 'DIAGNOSIS': 1, 'ABUNDANT': 1, 'HEPATIC': 1, 'UNUSUAL': 2, 'AGE': 1, 'INDICATING': 1, 'UTERO': 1, 'ORIGIN': 1, 'CASE': 1, 'ALSO': 1, 'FORTUITOUS': 1, 'ASSOCIATION': 1, 'CONGENITAL': 1, 'CARDIAC': 1, 'MALFORMATION': 1}
