query_number;doc_number_list;doc_score_list
25;[72, 74, 83, 84, 106, 112, 120, 141, 162, 172, 198, 221, 276, 370, 390, 392, 411, 415, 425, 431, 432, 464, 465, 503, 505, 530, 550, 559, 566, 568, 569, 622, 647, 855, 858, 875, 880, 881, 891, 913, 915, 926, 949, 977, 1027, 1031, 1083, 1156, 1194, 1195, 1210];[0.046413502109704644, 0.029535864978902954, 0.02109704641350211, 0.016877637130801686, 0.03375527426160337, 0.008438818565400843, 0.02109704641350211, 0.008438818565400843, 0.016877637130801686, 0.008438818565400843, 0.03375527426160337, 0.008438818565400843, 0.008438818565400843, 0.016877637130801686, 0.008438818565400843, 0.008438818565400843, 0.0379746835443038, 0.008438818565400843, 0.008438818565400843, 0.05907172995780591, 0.016877637130801686, 0.008438818565400843, 0.029535864978902954, 0.0379746835443038, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.02531645569620253, 0.008438818565400843, 0.05485232067510549, 0.008438818565400843, 0.0379746835443038, 0.008438818565400843, 0.016877637130801686, 0.02531645569620253, 0.008438818565400843, 0.05907172995780591, 0.008438818565400843, 0.046413502109704644, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.008438818565400843, 0.012658227848101266, 0.0379746835443038, 0.0379746835443038, 0.008438818565400843]
26;[74, 104, 199, 221, 281, 285, 328, 333, 342, 343, 370, 392, 431, 434, 442, 465, 485, 488, 490, 610, 617, 665, 713, 774, 807, 855, 881, 942, 1061, 1144, 1166, 1194, 1195];[0.013513513513513514, 0.05405405405405406, 0.06306306306306306, 0.009009009009009009, 0.06306306306306306, 0.04954954954954955, 0.04054054054054054, 0.009009009009009009, 0.03153153153153153, 0.013513513513513514, 0.009009009009009009, 0.009009009009009009, 0.06306306306306306, 0.009009009009009009, 0.018018018018018018, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.05855855855855856, 0.06306306306306306, 0.04054054054054054, 0.009009009009009009, 0.013513513513513514, 0.04954954954954955, 0.009009009009009009, 0.02252252252252252, 0.02252252252252252, 0.06306306306306306, 0.06306306306306306, 0.04504504504504504, 0.04054054054054054, 0.009009009009009009]
27;[98, 179, 599, 756, 858, 905, 912, 913, 1000, 1083, 1096];[0.12962962962962962, 0.037037037037037035, 0.25925925925925924, 0.07407407407407407, 0.037037037037037035, 0.24074074074074073, 0.037037037037037035, 0.07407407407407407, 0.018518518518518517, 0.018518518518518517, 0.07407407407407407]
28;[134, 135, 136, 215, 274, 300, 322, 331, 333, 343, 351, 352, 370, 392, 398, 465, 467, 477, 510, 550, 559, 586, 611, 665, 722, 724, 729, 735, 759, 763, 822, 832, 837, 875, 882, 913, 937, 942, 944, 969, 990, 1000, 1033, 1040, 1083, 1093, 1187, 1192, 1222, 1226, 1234];[0.009569377990430622, 0.023923444976076555, 0.009569377990430622, 0.0430622009569378, 0.009569377990430622, 0.019138755980861243, 0.019138755980861243, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.05263157894736842, 0.05263157894736842, 0.0430622009569378, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.05263157894736842, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.03827751196172249, 0.023923444976076555, 0.009569377990430622, 0.009569377990430622, 0.0430622009569378, 0.023923444976076555, 0.04784688995215311, 0.009569377990430622, 0.009569377990430622, 0.009569377990430622, 0.019138755980861243, 0.009569377990430622, 0.009569377990430622, 0.014354066985645933, 0.009569377990430622, 0.009569377990430622, 0.019138755980861243, 0.03349282296650718, 0.023923444976076555, 0.023923444976076555, 0.0430622009569378, 0.023923444976076555, 0.009569377990430622, 0.023923444976076555, 0.009569377990430622, 0.009569377990430622, 0.023923444976076555]
29;[15, 100, 215, 274, 300, 322, 333, 343, 350, 351, 352, 353, 370, 385, 392, 434, 442, 477, 510, 553, 687, 714, 722, 724, 729, 759, 763, 764, 788, 822, 832, 837, 875, 937, 942, 944, 1000, 1033, 1040, 1083, 1093, 1184, 1192, 1234];[0.03305785123966942, 0.008264462809917356, 0.05371900826446281, 0.05785123966942149, 0.049586776859504134, 0.05785123966942149, 0.012396694214876033, 0.008264462809917356, 0.012396694214876033, 0.05371900826446281, 0.05371900826446281, 0.04132231404958678, 0.0371900826446281, 0.008264462809917356, 0.008264462809917356, 0.008264462809917356, 0.008264462809917356, 0.028925619834710745, 0.008264462809917356, 0.008264462809917356, 0.008264462809917356, 0.024793388429752067, 0.03305785123966942, 0.02066115702479339, 0.008264462809917356, 0.049586776859504134, 0.028925619834710745, 0.008264462809917356, 0.008264462809917356, 0.02066115702479339, 0.049586776859504134, 0.008264462809917356, 0.008264462809917356, 0.008264462809917356, 0.012396694214876033, 0.028925619834710745, 0.008264462809917356, 0.004132231404958678, 0.012396694214876033, 0.01652892561983471, 0.004132231404958678, 0.004132231404958678, 0.045454545454545456, 0.02066115702479339]
30;[117, 328, 332, 433, 492, 557, 586, 687, 775, 880, 881, 911, 942, 1001, 1084, 1224, 1234];[0.0449438202247191, 0.033707865168539325, 0.02247191011235955, 0.14606741573033707, 0.02247191011235955, 0.0449438202247191, 0.12359550561797752, 0.02247191011235955, 0.02247191011235955, 0.12359550561797752, 0.02247191011235955, 0.1348314606741573, 0.0449438202247191, 0.0449438202247191, 0.011235955056179775, 0.11235955056179775, 0.02247191011235955]
31;[43, 69, 127, 128, 136, 145, 168, 189, 213, 226, 239, 272, 330, 331, 332, 359, 370, 389, 433, 448, 467, 512, 550, 551, 557, 586, 620, 628, 651, 701, 722, 724, 729, 735, 760, 762, 764, 839, 845, 882, 937, 938, 940, 942, 944, 999, 1000, 1020, 1022, 1036, 1040, 1084, 1093, 1187, 1224, 1232, 1233, 1234];[0.034482758620689655, 0.0049261083743842365, 0.022167487684729065, 0.0049261083743842365, 0.012315270935960592, 0.009852216748768473, 0.007389162561576354, 0.022167487684729065, 0.0049261083743842365, 0.027093596059113302, 0.034482758620689655, 0.0024630541871921183, 0.017241379310344827, 0.009852216748768473, 0.034482758620689655, 0.0024630541871921183, 0.017241379310344827, 0.0049261083743842365, 0.034482758620689655, 0.03201970443349754, 0.034482758620689655, 0.0024630541871921183, 0.0049261083743842365, 0.007389162561576354, 0.034482758620689655, 0.034482758620689655, 0.009852216748768473, 0.012315270935960592, 0.029556650246305417, 0.007389162561576354, 0.009852216748768473, 0.0049261083743842365, 0.007389162561576354, 0.0024630541871921183, 0.034482758620689655, 0.0049261083743842365, 0.0049261083743842365, 0.024630541871921183, 0.034482758620689655, 0.022167487684729065, 0.007389162561576354, 0.024630541871921183, 0.007389162561576354, 0.019704433497536946, 0.0049261083743842365, 0.034482758620689655, 0.007389162561576354, 0.03201970443349754, 0.029556650246305417, 0.027093596059113302, 0.017241379310344827, 0.034482758620689655, 0.009852216748768473, 0.007389162561576354, 0.017241379310344827, 0.0049261083743842365, 0.034482758620689655, 0.012315270935960592]
32;[43, 127, 128, 181, 184, 189, 212, 226, 239, 315, 330, 331, 370, 389, 433, 467, 473, 489, 506, 586, 722, 735, 764, 882, 937, 999, 1040, 1093, 1220, 1234];[0.018691588785046728, 0.018691588785046728, 0.018691588785046728, 0.018691588785046728, 0.1308411214953271, 0.037383177570093455, 0.037383177570093455, 0.018691588785046728, 0.037383177570093455, 0.018691588785046728, 0.018691588785046728, 0.018691588785046728, 0.018691588785046728, 0.08411214953271028, 0.08411214953271028, 0.018691588785046728, 0.018691588785046728, 0.018691588785046728, 0.018691588785046728, 0.056074766355140186, 0.102803738317757, 0.018691588785046728, 0.018691588785046728, 0.018691588785046728, 0.018691588785046728, 0.018691588785046728, 0.028037383177570093, 0.018691588785046728, 0.018691588785046728, 0.028037383177570093]
33;[37, 65, 91, 94, 96, 210, 225, 297, 359, 370, 403, 404, 413, 465, 515, 612, 637, 638, 663, 719, 721, 731, 763, 764, 773, 793, 795, 797, 811, 818, 822, 825, 846, 882, 888, 889, 916, 920, 927, 978, 981, 995, 996, 1000, 1023, 1052, 1072, 1098, 1105, 1113, 1122, 1123, 1183, 1186, 1189, 1215, 1234];[0.007389162561576354, 0.0049261083743842365, 0.034482758620689655, 0.024630541871921183, 0.0049261083743842365, 0.024630541871921183, 0.014778325123152709, 0.0049261083743842365, 0.014778325123152709, 0.024630541871921183, 0.029556650246305417, 0.009852216748768473, 0.009852216748768473, 0.034482758620689655, 0.0049261083743842365, 0.034482758620689655, 0.024630541871921183, 0.024630541871921183, 0.0049261083743842365, 0.0049261083743842365, 0.034482758620689655, 0.0049261083743842365, 0.009852216748768473, 0.009852216748768473, 0.0049261083743842365, 0.0049261083743842365, 0.0049261083743842365, 0.019704433497536946, 0.034482758620689655, 0.024630541871921183, 0.0049261083743842365, 0.034482758620689655, 0.0049261083743842365, 0.0049261083743842365, 0.014778325123152709, 0.009852216748768473, 0.034482758620689655, 0.029556650246305417, 0.027093596059113302, 0.017241379310344827, 0.0049261083743842365, 0.022167487684729065, 0.034482758620689655, 0.0024630541871921183, 0.0049261083743842365, 0.034482758620689655, 0.0049261083743842365, 0.0049261083743842365, 0.034482758620689655, 0.034482758620689655, 0.022167487684729065, 0.017241379310344827, 0.027093596059113302, 0.029556650246305417, 0.009852216748768473, 0.0049261083743842365, 0.029556650246305417]
34;[37, 65, 76, 77, 94, 135, 225, 235, 236, 247, 261, 277, 297, 359, 403, 404, 465, 471, 552, 627, 637, 638, 721, 773, 795, 817, 818, 825, 846, 916, 933, 941, 944, 995, 1000, 1023, 1052, 1186, 1234];[0.05384615384615385, 0.046153846153846156, 0.015384615384615385, 0.0038461538461538464, 0.015384615384615385, 0.007692307692307693, 0.015384615384615385, 0.007692307692307693, 0.007692307692307693, 0.007692307692307693, 0.05, 0.007692307692307693, 0.007692307692307693, 0.007692307692307693, 0.046153846153846156, 0.05384615384615385, 0.05384615384615385, 0.046153846153846156, 0.007692307692307693, 0.007692307692307693, 0.05384615384615385, 0.05384615384615385, 0.05384615384615385, 0.038461538461538464, 0.05384615384615385, 0.05384615384615385, 0.007692307692307693, 0.0038461538461538464, 0.05384615384615385, 0.046153846153846156, 0.007692307692307693, 0.0038461538461538464, 0.007692307692307693, 0.05384615384615385, 0.0038461538461538464, 0.007692307692307693, 0.011538461538461539, 0.007692307692307693, 0.007692307692307693]
35;[32, 120, 210, 811, 825, 888, 913, 915, 920, 926, 948, 1105, 1109, 1119];[0.030303030303030304, 0.015151515151515152, 0.21212121212121213, 0.10606060606060606, 0.015151515151515152, 0.030303030303030304, 0.10606060606060606, 0.13636363636363635, 0.015151515151515152, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.21212121212121213, 0.030303030303030304]
36;[66, 325, 370, 403, 612, 721, 722, 724, 1052];[0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.06818181818181818, 0.20454545454545456, 0.045454545454545456, 0.22727272727272727, 0.045454545454545456, 0.22727272727272727]
37;[3, 4, 28, 33, 35, 38, 65, 71, 76, 116, 119, 120, 131, 148, 150, 158, 175, 203, 220, 225, 231, 233, 234, 238, 247, 280, 291, 294, 318, 319, 333, 334, 342, 345, 370, 378, 379, 380, 392, 403, 428, 433, 443, 465, 470, 476, 482, 483, 491, 492, 510, 512, 514, 596, 600, 627, 671, 697, 711, 712, 717, 721, 731, 774, 776, 815, 817, 818, 831, 835, 849, 866, 871, 877, 888, 930, 933, 941, 942, 944, 946, 991, 1008, 1011, 1014, 1028, 1080, 1126, 1128, 1130, 1131, 1133, 1135, 1174, 1176, 1178, 1182, 1234];[0.013317191283292978, 0.002421307506053269, 0.010895883777239709, 0.01694915254237288, 0.015738498789346248, 0.01694915254237288, 0.004842615012106538, 0.00847457627118644, 0.007263922518159807, 0.002421307506053269, 0.002421307506053269, 0.014527845036319613, 0.01694915254237288, 0.002421307506053269, 0.002421307506053269, 0.01694915254237288, 0.01694915254237288, 0.015738498789346248, 0.002421307506053269, 0.01694915254237288, 0.007263922518159807, 0.002421307506053269, 0.01694915254237288, 0.004842615012106538, 0.013317191283292978, 0.012106537530266344, 0.002421307506053269, 0.002421307506053269, 0.01694915254237288, 0.010895883777239709, 0.009685230024213076, 0.004842615012106538, 0.002421307506053269, 0.002421307506053269, 0.007263922518159807, 0.015738498789346248, 0.01694915254237288, 0.01694915254237288, 0.002421307506053269, 0.002421307506053269, 0.004842615012106538, 0.002421307506053269, 0.002421307506053269, 0.01694915254237288, 0.013317191283292978, 0.013317191283292978, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288, 0.01694915254237288, 0.002421307506053269, 0.002421307506053269, 0.002421307506053269, 0.002421307506053269, 0.01694915254237288, 0.010895883777239709, 0.002421307506053269, 0.01694915254237288, 0.002421307506053269, 0.015738498789346248, 0.01694915254237288, 0.002421307506053269, 0.004842615012106538, 0.007263922518159807, 0.002421307506053269, 0.01694915254237288, 0.015738498789346248, 0.002421307506053269, 0.014527845036319613, 0.015738498789346248, 0.01694915254237288, 0.009685230024213076, 0.007263922518159807, 0.01694915254237288, 0.002421307506053269, 0.015738498789346248, 0.00847457627118644, 0.002421307506053269, 0.009685230024213076, 0.0012106537530266344, 0.01694915254237288, 0.014527845036319613, 0.01694915254237288, 0.007263922518159807, 0.01694915254237288, 0.01694915254237288, 0.002421307506053269, 0.01694915254237288, 0.014527845036319613, 0.002421307506053269, 0.013317191283292978, 0.01694915254237288, 0.006053268765133172, 0.014527845036319613, 0.01694915254237288, 0.015738498789346248, 0.014527845036319613, 0.012106537530266344]
38;[14, 76, 117, 142, 252, 360, 370, 390, 392, 444, 465, 503, 505, 510, 572, 573, 621, 622, 627, 634, 644, 646, 666, 702, 729, 776, 786, 856, 862, 866, 873, 881, 882, 888, 971, 990, 1001, 1024, 1027, 1029, 1059, 1066, 1068, 1072, 1075, 1130, 1136, 1140, 1146, 1148, 1160, 1230, 1234];[0.05439330543933055, 0.008368200836820083, 0.016736401673640166, 0.008368200836820083, 0.0041841004184100415, 0.0502092050209205, 0.008368200836820083, 0.058577405857740586, 0.008368200836820083, 0.008368200836820083, 0.04184100418410042, 0.008368200836820083, 0.008368200836820083, 0.008368200836820083, 0.008368200836820083, 0.008368200836820083, 0.008368200836820083, 0.016736401673640166, 0.008368200836820083, 0.04602510460251046, 0.03765690376569038, 0.016736401673640166, 0.016736401673640166, 0.016736401673640166, 0.008368200836820083, 0.008368200836820083, 0.008368200836820083, 0.008368200836820083, 0.008368200836820083, 0.0041841004184100415, 0.02510460251046025, 0.008368200836820083, 0.016736401673640166, 0.008368200836820083, 0.04602510460251046, 0.016736401673640166, 0.008368200836820083, 0.016736401673640166, 0.008368200836820083, 0.008368200836820083, 0.008368200836820083, 0.008368200836820083, 0.0502092050209205, 0.008368200836820083, 0.008368200836820083, 0.0502092050209205, 0.0502092050209205, 0.04602510460251046, 0.016736401673640166, 0.016736401673640166, 0.016736401673640166, 0.008368200836820083, 0.02510460251046025]
39;[3, 67, 74, 76, 83, 84, 85, 102, 107, 108, 112, 135, 143, 216, 217, 218, 219, 221, 222, 225, 226, 230, 233, 235, 236, 244, 248, 249, 252, 254, 263, 276, 277, 289, 293, 297, 301, 304, 306, 307, 308, 338, 342, 343, 356, 360, 365, 366, 370, 392, 404, 407, 412, 420, 433, 453, 465, 470, 488, 490, 494, 503, 505, 508, 510, 529, 530, 532, 534, 535, 553, 560, 563, 564, 565, 566, 567, 568, 569, 570, 571, 572, 573, 576, 584, 586, 608, 610, 619, 621, 622, 627, 639, 645, 646, 647, 652, 654, 702, 716, 729, 738, 739, 740, 744, 746, 749, 776, 777, 786, 845, 849, 851, 862, 869, 873, 881, 882, 888, 889, 892, 902, 918, 942, 944, 949, 966, 971, 990, 1001, 1026, 1027, 1029, 1044, 1066, 1070, 1072, 1076, 1096, 1127, 1135, 1136, 1137, 1139, 1140, 1141, 1146, 1148, 1160, 1161, 1185, 1194, 1209, 1210, 1211, 1222, 1224, 1225, 1230, 1234, 1236, 1238];[0.002506265664160401, 0.002506265664160401, 0.002506265664160401, 0.002506265664160401, 0.013784461152882205, 0.002506265664160401, 0.016290726817042606, 0.002506265664160401, 0.002506265664160401, 0.005012531328320802, 0.005012531328320802, 0.002506265664160401, 0.002506265664160401, 0.016290726817042606, 0.016290726817042606, 0.016290726817042606, 0.016290726817042606, 0.016290726817042606, 0.013784461152882205, 0.017543859649122806, 0.002506265664160401, 0.007518796992481203, 0.002506265664160401, 0.016290726817042606, 0.016290726817042606, 0.002506265664160401, 0.002506265664160401, 0.013784461152882205, 0.007518796992481203, 0.005012531328320802, 0.007518796992481203, 0.002506265664160401, 0.016290726817042606, 0.013784461152882205, 0.013784461152882205, 0.002506265664160401, 0.002506265664160401, 0.013784461152882205, 0.002506265664160401, 0.005012531328320802, 0.005012531328320802, 0.016290726817042606, 0.005012531328320802, 0.005012531328320802, 0.006265664160401002, 0.002506265664160401, 0.002506265664160401, 0.002506265664160401, 0.002506265664160401, 0.002506265664160401, 0.005012531328320802, 0.016290726817042606, 0.008771929824561403, 0.013784461152882205, 0.007518796992481203, 0.002506265664160401, 0.005012531328320802, 0.013784461152882205, 0.005012531328320802, 0.002506265664160401, 0.005012531328320802, 0.002506265664160401, 0.007518796992481203, 0.0037593984962406013, 0.005012531328320802, 0.007518796992481203, 0.002506265664160401, 0.002506265664160401, 0.005012531328320802, 0.002506265664160401, 0.010025062656641603, 0.016290726817042606, 0.005012531328320802, 0.005012531328320802, 0.002506265664160401, 0.002506265664160401, 0.005012531328320802, 0.002506265664160401, 0.002506265664160401, 0.005012531328320802, 0.005012531328320802, 0.002506265664160401, 0.007518796992481203, 0.002506265664160401, 0.013784461152882205, 0.002506265664160401, 0.005012531328320802, 0.002506265664160401, 0.013784461152882205, 0.002506265664160401, 0.005012531328320802, 0.002506265664160401, 0.015037593984962405, 0.011278195488721804, 0.005012531328320802, 0.002506265664160401, 0.002506265664160401, 0.013784461152882205, 0.005012531328320802, 0.006265664160401002, 0.002506265664160401, 0.005012531328320802, 0.005012531328320802, 0.005012531328320802, 0.002506265664160401, 0.005012531328320802, 0.002506265664160401, 0.002506265664160401, 0.005012531328320802, 0.005012531328320802, 0.002506265664160401, 0.002506265664160401, 0.013784461152882205, 0.002506265664160401, 0.007518796992481203, 0.013784461152882205, 0.005012531328320802, 0.005012531328320802, 0.002506265664160401, 0.002506265664160401, 0.002506265664160401, 0.002506265664160401, 0.005012531328320802, 0.002506265664160401, 0.002506265664160401, 0.007518796992481203, 0.007518796992481203, 0.016290726817042606, 0.005012531328320802, 0.005012531328320802, 0.002506265664160401, 0.005012531328320802, 0.005012531328320802, 0.002506265664160401, 0.002506265664160401, 0.002506265664160401, 0.002506265664160401, 0.002506265664160401, 0.0012531328320802004, 0.007518796992481203, 0.002506265664160401, 0.002506265664160401, 0.012531328320802004, 0.015037593984962405, 0.002506265664160401, 0.013784461152882205, 0.005012531328320802, 0.005012531328320802, 0.002506265664160401, 0.002506265664160401, 0.002506265664160401, 0.002506265664160401, 0.002506265664160401, 0.002506265664160401, 0.007518796992481203, 0.002506265664160401, 0.002506265664160401, 0.011278195488721804, 0.007518796992481203, 0.010025062656641603, 0.002506265664160401, 0.005012531328320802]
40;[2, 3, 4, 5, 9, 10, 17, 28, 32, 35, 76, 77, 95, 103, 105, 108, 109, 112, 115, 116, 119, 120, 132, 142, 144, 150, 151, 169, 173, 189, 198, 210, 225, 231, 233, 235, 236, 240, 248, 249, 252, 254, 261, 263, 277, 279, 289, 291, 293, 294, 297, 298, 304, 308, 333, 338, 344, 345, 351, 352, 370, 392, 404, 405, 407, 413, 417, 420, 434, 465, 478, 479, 508, 510, 515, 526, 529, 532, 535, 553, 560, 571, 572, 573, 576, 583, 613, 616, 619, 645, 646, 654, 673, 677, 731, 735, 763, 780, 785, 786, 815, 849, 851, 852, 869, 882, 888, 899, 931, 941, 942, 949, 954, 956, 959, 1000, 1008, 1024, 1027, 1029, 1052, 1080, 1100, 1105, 1109, 1117, 1124, 1126, 1127, 1128, 1130, 1131, 1132, 1133, 1135, 1137, 1139, 1141, 1146, 1148, 1160, 1161, 1192, 1193, 1230, 1234];[0.0016339869281045752, 0.021241830065359478, 0.021241830065359478, 0.0016339869281045752, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0196078431372549, 0.0032679738562091504, 0.0016339869281045752, 0.0032679738562091504, 0.017973856209150325, 0.011437908496732025, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.006535947712418301, 0.0032679738562091504, 0.0032679738562091504, 0.017973856209150325, 0.006535947712418301, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.008169934640522876, 0.006535947712418301, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.021241830065359478, 0.021241830065359478, 0.02287581699346405, 0.0032679738562091504, 0.0032679738562091504, 0.011437908496732025, 0.0032679738562091504, 0.0032679738562091504, 0.00980392156862745, 0.017973856209150325, 0.0032679738562091504, 0.0032679738562091504, 0.017973856209150325, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.006535947712418301, 0.00980392156862745, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.006535947712418301, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.006535947712418301, 0.0032679738562091504, 0.021241830065359478, 0.021241830065359478, 0.0032679738562091504, 0.0032679738562091504, 0.008169934640522876, 0.00980392156862745, 0.0032679738562091504, 0.02287581699346405, 0.0032679738562091504, 0.014705882352941176, 0.006535947712418301, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.006535947712418301, 0.0032679738562091504, 0.0032679738562091504, 0.006535947712418301, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.021241830065359478, 0.021241830065359478, 0.016339869281045753, 0.0016339869281045752, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.0016339869281045752, 0.00980392156862745, 0.0032679738562091504, 0.011437908496732025, 0.0032679738562091504, 0.0032679738562091504, 0.004901960784313725, 0.0016339869281045752, 0.0016339869281045752, 0.0032679738562091504, 0.0196078431372549, 0.0032679738562091504, 0.0032679738562091504, 0.0032679738562091504, 0.006535947712418301, 0.004901960784313725, 0.016339869281045753, 0.006535947712418301, 0.0032679738562091504, 0.016339869281045753, 0.013071895424836602, 0.0032679738562091504, 0.00980392156862745, 0.0032679738562091504, 0.0032679738562091504, 0.006535947712418301, 0.0032679738562091504, 0.006535947712418301, 0.017973856209150325, 0.014705882352941176, 0.013071895424836602, 0.011437908496732025, 0.0032679738562091504, 0.0032679738562091504, 0.006535947712418301, 0.0032679738562091504, 0.0032679738562091504, 0.014705882352941176, 0.011437908496732025, 0.02287581699346405]
41;[46, 296, 301, 322, 370, 392, 603, 941, 998, 1106, 1107, 1108, 1115, 1184, 1190];[0.010526315789473684, 0.010526315789473684, 0.010526315789473684, 0.021052631578947368, 0.010526315789473684, 0.021052631578947368, 0.12631578947368421, 0.021052631578947368, 0.042105263157894736, 0.14736842105263157, 0.14736842105263157, 0.14736842105263157, 0.11578947368421053, 0.021052631578947368, 0.14736842105263157]
42;[5, 46, 57, 92, 135, 209, 245, 297, 301, 314, 317, 322, 337, 339, 370, 416, 434, 443, 489, 505, 509, 550, 585, 586, 601, 695, 719, 722, 724, 731, 763, 764, 770, 822, 837, 888, 931, 944, 1000, 1033, 1040, 1085, 1093, 1187, 1192, 1232, 1234];[0.009009009009009009, 0.0045045045045045045, 0.06306306306306306, 0.05405405405405406, 0.009009009009009009, 0.06306306306306306, 0.02702702702702703, 0.009009009009009009, 0.04054054054054054, 0.0045045045045045045, 0.06306306306306306, 0.009009009009009009, 0.04504504504504504, 0.0045045045045045045, 0.018018018018018018, 0.05405405405405406, 0.009009009009009009, 0.04504504504504504, 0.009009009009009009, 0.05405405405405406, 0.009009009009009009, 0.009009009009009009, 0.06306306306306306, 0.009009009009009009, 0.009009009009009009, 0.06306306306306306, 0.009009009009009009, 0.018018018018018018, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.02702702702702703, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.02702702702702703, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018]
43;[3, 4, 28, 54, 65, 66, 91, 94, 119, 124, 125, 135, 137, 140, 147, 172, 173, 199, 221, 261, 294, 301, 302, 303, 307, 308, 311, 324, 334, 361, 370, 386, 392, 404, 418, 430, 440, 441, 461, 471, 484, 490, 493, 504, 505, 522, 526, 527, 560, 562, 563, 568, 570, 571, 575, 636, 655, 693, 694, 707, 714, 733, 737, 741, 758, 793, 795, 817, 818, 864, 889, 891, 913, 916, 918, 921, 944, 958, 960, 966, 967, 975, 982, 997, 1000, 1080, 1093, 1094, 1121, 1156, 1167, 1172, 1184, 1185, 1199, 1200, 1209, 1216];[0.0026246719160104987, 0.0026246719160104987, 0.0026246719160104987, 0.023622047244094488, 0.0026246719160104987, 0.031496062992125984, 0.0026246719160104987, 0.0026246719160104987, 0.015748031496062992, 0.026246719160104987, 0.03674540682414698, 0.005249343832020997, 0.010498687664041995, 0.03674540682414698, 0.005249343832020997, 0.03674540682414698, 0.02099737532808399, 0.005249343832020997, 0.005249343832020997, 0.007874015748031496, 0.0026246719160104987, 0.005249343832020997, 0.007874015748031496, 0.023622047244094488, 0.005249343832020997, 0.0026246719160104987, 0.0026246719160104987, 0.0026246719160104987, 0.0026246719160104987, 0.0026246719160104987, 0.023622047244094488, 0.005249343832020997, 0.010498687664041995, 0.0026246719160104987, 0.031496062992125984, 0.005249343832020997, 0.03674540682414698, 0.03674540682414698, 0.015748031496062992, 0.005249343832020997, 0.007874015748031496, 0.005249343832020997, 0.005249343832020997, 0.03674540682414698, 0.005249343832020997, 0.007874015748031496, 0.007874015748031496, 0.0026246719160104987, 0.0026246719160104987, 0.0026246719160104987, 0.005249343832020997, 0.03674540682414698, 0.005249343832020997, 0.005249343832020997, 0.005249343832020997, 0.005249343832020997, 0.005249343832020997, 0.005249343832020997, 0.0026246719160104987, 0.005249343832020997, 0.007874015748031496, 0.005249343832020997, 0.005249343832020997, 0.005249343832020997, 0.005249343832020997, 0.0026246719160104987, 0.0026246719160104987, 0.0026246719160104987, 0.0026246719160104987, 0.005249343832020997, 0.005249343832020997, 0.010498687664041995, 0.0026246719160104987, 0.0026246719160104987, 0.015748031496062992, 0.01837270341207349, 0.005249343832020997, 0.015748031496062992, 0.03674540682414698, 0.010498687664041995, 0.010498687664041995, 0.010498687664041995, 0.005249343832020997, 0.005249343832020997, 0.010498687664041995, 0.005249343832020997, 0.005249343832020997, 0.005249343832020997, 0.005249343832020997, 0.005249343832020997, 0.010498687664041995, 0.010498687664041995, 0.005249343832020997, 0.005249343832020997, 0.015748031496062992, 0.026246719160104987, 0.005249343832020997, 0.005249343832020997]
